date,product_id,product_name,opening_stock,sales_quantity,stock_received,closing_stock,average_daily_demand,lead_time_days,safety_stock,reorder_point,reorder_quantity,stockout_flag,overstock_flag
2022-04-01,476763,Christmas - Card,176,9,0,167,7,5,11,46,70,0,0
2022-04-02,476763,Christmas - Card,167,4,0,163,7,5,11,46,70,0,0
2022-04-03,476763,Christmas - Card,163,5,0,158,7,5,11,46,70,0,0
2022-04-04,476763,Christmas - Card,158,7,0,151,7,5,11,46,70,0,0
2022-04-05,476763,Christmas - Card,151,6,0,145,7,5,11,46,70,0,0
2022-04-06,476763,Christmas - Card,145,7,0,138,7,5,11,46,70,0,0
2022-04-07,476763,Christmas - Card,138,6,0,132,7,5,11,46,70,0,0
2022-04-08,476763,Christmas - Card,132,9,0,123,7,5,11,46,70,0,0
2022-04-09,476763,Christmas - Card,123,8,0,115,7,5,11,46,70,0,0
2022-04-10,476763,Christmas - Card,115,7,0,108,7,5,11,46,70,0,0
2022-04-11,476763,Christmas - Card,108,9,0,99,7,5,11,46,70,0,0
2022-04-12,476763,Christmas - Card,99,8,0,91,7,5,11,46,70,0,0
2022-04-13,476763,Christmas - Card,91,5,0,86,7,5,11,46,70,0,0
2022-04-14,476763,Christmas - Card,86,8,0,78,7,5,11,46,70,0,0
2022-04-15,476763,Christmas - Card,78,5,0,73,7,5,11,46,70,0,0
2022-04-16,476763,Christmas - Card,73,9,0,64,7,5,11,46,70,0,0
2022-04-17,476763,Christmas - Card,64,7,0,57,7,5,11,46,70,0,0
2022-04-18,476763,Christmas - Card,57,7,0,50,7,5,11,46,70,0,0
2022-04-19,476763,Christmas - Card,50,6,0,44,7,5,11,46,70,0,0
2022-04-20,476763,Christmas - Card,44,9,70,105,7,5,11,46,70,0,0
2022-04-21,476763,Christmas - Card,105,7,0,98,7,5,11,46,70,0,0
2022-04-22,476763,Christmas - Card,98,6,0,92,7,5,11,46,70,0,0
2022-04-23,476763,Christmas - Card,92,6,0,86,7,5,11,46,70,0,0
2022-04-24,476763,Christmas - Card,86,8,0,78,7,5,11,46,70,0,0
2022-04-25,476763,Christmas - Card,78,8,0,70,7,5,11,46,70,0,0
2022-04-26,476763,Christmas - Card,70,8,0,62,7,5,11,46,70,0,0
2022-04-27,476763,Christmas - Card,62,8,0,54,7,5,11,46,70,0,0
2022-04-28,476763,Christmas - Card,54,11,0,43,7,5,11,46,70,0,0
2022-04-29,476763,Christmas - Card,43,6,70,107,7,5,11,46,70,0,0
2022-04-30,476763,Christmas - Card,107,6,0,101,7,5,11,46,70,0,0
2022-05-01,476763,Christmas - Card,101,6,0,95,7,5,11,46,70,0,0
2022-05-02,476763,Christmas - Card,95,8,0,87,7,5,11,46,70,0,0
2022-05-03,476763,Christmas - Card,87,9,0,78,7,5,11,46,70,0,0
2022-05-04,476763,Christmas - Card,78,7,0,71,7,5,11,46,70,0,0
2022-05-05,476763,Christmas - Card,71,6,0,65,7,5,11,46,70,0,0
2022-05-06,476763,Christmas - Card,65,6,0,59,7,5,11,46,70,0,0
2022-05-07,476763,Christmas - Card,59,8,0,51,7,5,11,46,70,0,0
2022-05-08,476763,Christmas - Card,51,8,0,43,7,5,11,46,70,0,0
2022-05-09,476763,Christmas - Card,43,8,70,105,7,5,11,46,70,0,0
2022-05-10,476763,Christmas - Card,105,6,0,99,7,5,11,46,70,0,0
2022-05-11,476763,Christmas - Card,99,7,0,92,7,5,11,46,70,0,0
2022-05-12,476763,Christmas - Card,92,7,0,85,7,5,11,46,70,0,0
2022-05-13,476763,Christmas - Card,85,7,0,78,7,5,11,46,70,0,0
2022-05-14,476763,Christmas - Card,78,9,0,69,7,5,11,46,70,0,0
2022-05-15,476763,Christmas - Card,69,7,0,62,7,5,11,46,70,0,0
2022-05-16,476763,Christmas - Card,62,8,0,54,7,5,11,46,70,0,0
2022-05-17,476763,Christmas - Card,54,7,0,47,7,5,11,46,70,0,0
2022-05-18,476763,Christmas - Card,47,8,0,39,7,5,11,46,70,0,0
2022-05-19,476763,Christmas - Card,39,8,70,101,7,5,11,46,70,0,0
2022-05-20,476763,Christmas - Card,101,4,0,97,7,5,11,46,70,0,0
2022-05-21,476763,Christmas - Card,97,6,0,91,7,5,11,46,70,0,0
2022-05-22,476763,Christmas - Card,91,6,0,85,7,5,11,46,70,0,0
2022-05-23,476763,Christmas - Card,85,6,0,79,7,5,11,46,70,0,0
2022-05-24,476763,Christmas - Card,79,7,0,72,7,5,11,46,70,0,0
2022-05-25,476763,Christmas - Card,72,10,0,62,7,5,11,46,70,0,0
2022-05-26,476763,Christmas - Card,62,5,0,57,7,5,11,46,70,0,0
2022-05-27,476763,Christmas - Card,57,9,0,48,7,5,11,46,70,0,0
2022-05-28,476763,Christmas - Card,48,4,0,44,7,5,11,46,70,0,0
2022-05-29,476763,Christmas - Card,44,6,70,108,7,5,11,46,70,0,0
2022-05-30,476763,Christmas - Card,108,7,0,101,7,5,11,46,70,0,0
2022-05-31,476763,Christmas - Card,101,8,0,93,7,5,11,46,70,0,0
2022-06-01,476763,Christmas - Card,93,8,0,85,7,5,11,46,70,0,0
2022-06-02,476763,Christmas - Card,85,8,0,77,7,5,11,46,70,0,0
2022-06-03,476763,Christmas - Card,77,6,0,71,7,5,11,46,70,0,0
2022-06-04,476763,Christmas - Card,71,6,0,65,7,5,11,46,70,0,0
