,product_id,product_name,unit,product_type,brand_name,manufacturer_name,l0_category,l1_category,l2_category,l0_category_id,l1_category_id,l2_category_id
0,476763,Christmas - Card,1 unit,Card,,HOT,Specials,Bill Breaker,Bill Breaker,343,1741,1741
1,483436,Plum BodyLovin' Hawaiian Rumba Shower Gel - Sample,20 ml,Sample,Plum BodyLovin',Pureplay Skin Sciences India Pvt. Ltd.,Specials,Free Store,Free Store,343,1493,1493
2,476825,Diwali Gift Card Free - Sample,1 unit,Sample,,HOT,Specials,Bill Breaker,Bill Breaker,343,1741,1741
3,483438,Plum BodyLovin' Trippin' Mimosas Shower Gel - Sample,20 ml,Sample,Plum BodyLovin',Pureplay Skin Sciences India Pvt. Ltd.,Specials,Free Store,Free Store,343,1493,1493
4,480473,Flipkart Valentine Day Greeting - Card,1 unit,Card,Flipkart,Dummy Manufacturer,Specials,Bill Breaker,Bill Breaker,343,1741,1741
5,483694,Dabur Vita Chocolate Health Drink - Sample,75 g,Sample,Dabur,Dabur India Pvt Ltd,Specials,Free Store,Free Store,343,1493,1493
6,486016,Plum Green Tea Pore Cleansing Face Wash - Sample,15 ml,Sample,Plum,Pureplay Skin Sciences India Pvt. Ltd.,Specials,Free Store,Free Store,343,1493,1493
7,486017,Plum Green Tea Oil-Free Moisturizer - Sample,15 ml,Sample,Plum,Pureplay Skin Sciences India Pvt. Ltd.,Specials,Free Store,Free Store,343,1493,1493
8,486124,Kari kari Salt & Pepper Snack Sample,22 g,Sample,Kari kari,LT Foods,Specials,Freebie,Freebie,343,1013,1013
9,486125,Maggi Liquid Coconut Milk Sample,180 ml,Sample,Maggi,Nestle India,Specials,Freebie,Freebie,343,1013,1013
10,486376,Orion Mango Choco Pie Sample,28 g,Sample,Orion,ORION FOOD VINA CO. LTD.,Specials,Freebie,Freebie,343,1013,1013
11,486377,Tata Tea Gold Care Tea Sample,25 g,Sample,Tata Tea,Tata consumer products limited,Specials,Freebie,Freebie,343,1013,1013
12,486559,Conscious Food Organic Raw Sugar Sample,50 g,Sample,Conscious Food,Conscious Food,Specials,Freebie,Freebie,343,1013,1013
13,487659,The Laughing Cow Creamy Cheese Sample,15 g,Sample,The Laughing Cow,"Bel Vietnam Co., Ltd.",Specials,Freebie,Freebie,343,1013,1013
14,487667,Sunfeast Dark Fantasy Choco Fills Cookies Sample,20 g,Sample,Sunfeast Dark Fantasy,ITC Limited,Specials,Freebie,Freebie,343,1013,1013
15,487668,Sunfeast All Rounder Cracker - Chatpata Masala Sample,28.2 g,Sample,Sunfeast,ITC Limited,Specials,Freebie,Freebie,343,1013,1013
16,488061,Sleepy Owl Cold Brew Coffee (Bomb) Sample,5 x 50 g,Sample,Sleepy Owl,Sleepy Owl Coffee Pvt. Ltd.,Specials,Freebie,Freebie,343,1013,1013
17,488062,Sleepy Owl Cold Brew Coffee (Mocha) Sample,5 x 50 g,Sample,Sleepy Owl,Sleepy Owl Coffee Pvt. Ltd.,Specials,Freebie,Freebie,343,1013,1013
18,488063,Sleepy Owl Cold Brew Coffee (New Orleans) Sample,5 x 50 g,Sample,Sleepy Owl,Sleepy Owl Coffee Pvt. Ltd.,Specials,Freebie,Freebie,343,1013,1013
19,488059,Sleepy Owl Cinnamon Brew Coffee Sample,1 pack (5 x 50 g),Sample,Sleepy Owl,Sleepy Owl Coffee Pvt. Ltd.,Specials,Freebie,Freebie,343,1013,1013
20,488058,Sleepy Owl Caramel Brew Coffee Sample,5 x 50 g,Sample,Sleepy Owl,Sleepy Owl Coffee Pvt. Ltd.,Specials,Freebie,Freebie,343,1013,1013
21,488060,Sleepy Owl Cinnamon Brew Coffee (Set of 3) Sample,3 x 50 g,Sample,Sleepy Owl,Sleepy Owl Coffee Pvt. Ltd.,Specials,Freebie,Freebie,343,1013,1013
22,488705,Safe Harvest Pesticide-Free Poha Sample,250 g,Sample,Safe Harvest,SAFE HARVEST PVT LTD,Specials,Freebie,Freebie,343,1013,1013
23,486018,Niine Dry Comfort Ultra-Thin Sanitary Pads (XL) - Sample,1 piece,Sample,Niine,Niine Private Limited,Specials,Free Store,Free Store,343,1493,1493
24,489906,Cadbury Fuse Fit Almonds & Peanuts Chocolate Bar Sample,20 g,Sample,Cadbury,Mondelez India,Specials,Freebie,Freebie,343,1013,1013
25,486151,Black & white Double side Landscape,1 pc,Print as a Service,Flipkart,Dummy Manufacturer 1,Specials,Print as a service,Print as a service,343,2039,2039
26,486150,Black & white Double side Portrait,1 pc,Print as a Service,Flipkart,Dummy Manufacturer 1,Specials,Print as a service,Print as a service,343,2039,2039
27,486155,Colour Double side Landscape,1 pc,Print as a Service,Flipkart,Dummy Manufacturer 1,Specials,Print as a service,Print as a service,343,2039,2039
28,486154,Colour Double side Portrait,1 pc,Print as a Service,Flipkart,Dummy Manufacturer 1,Specials,Print as a service,Print as a service,343,2039,2039
29,486149,Black & white Single Side Landscape,1 pc,Print as a Service,Flipkart,Dummy Manufacturer 1,Specials,Print as a service,Print as a service,343,2039,2039
30,486148,Black & white Single side Portrait,1 piece,Print as a Service,Flipkart,Dummy Manufacturer 1,Specials,Print as a service,Print as a service,343,2039,2039
31,486153,Colour Single side Landscape,1 pc,Print as a Service,Flipkart,Dummy Manufacturer 1,Specials,Print as a service,Print as a service,343,2039,2039
32,486152,Colour Single side Portrait,1 pc,Print as a Service,Flipkart,Dummy Manufacturer 1,Specials,Print as a service,Print as a service,343,2039,2039
33,492061,Crax Pasta Crunch Crisps - Chinese Tadka Sample,16 g,Sample,Crax,DFM FOODS LIMITED,Specials,Freebie,Freebie,343,1013,1013
34,492062,Slurrp Farm Banana Chocochip Millet Pancake Mix Sample,50 g,Sample,Slurrp Farm,Christy Foods,Specials,Freebie,Freebie,343,1013,1013
35,492936,Navratna Gold Ayurvedic Cool Hair Oil Sample,50 ml,Sample,Navratna,Emami Ltd,Specials,Freebie,Freebie,343,1013,1013
36,493020,Kellogg's Chocos Fills Snack Cereal (Double Chocolaty) Sample,17 g,Sample,Kellogg's,Kelloggs India,Specials,Freebie,Freebie,343,1013,1013
37,492060,Crax Fritts Corn & Potato Sticks - Cream & Onion Sample,7 g,Sample,Crax,DFM FOODS LIMITED,Specials,Freebie,Freebie,343,1013,1013
38,493186,Pedigree Dentastix Oral Care Dog Treat (for 5-10 kg) Sample,45 g (3 sticks),Sample,Pedigree,MARS INTERNATIONAL INDIA PVT LTD,Specials,Freebie,Freebie,343,1013,1013
